beef puff pastry almond,Merlot
oyster,Champagne
salmon,Pinot Grigio
tuna,Pinot Grigio
pasta chicken alfredo parmesan,Chardonnay
beef roast carrot onion potato,Pinot Noir
elk,Cabernet Sauvignon
ribs french fries,Stout
tacos rice beans,Lager
pork chop,IPA
pork sliders,IPA
hamburger,Pale Ale
minestrone,Hefeweizen
caesar salad,Hefeweizen
beef stew,Red Ale
brie cheese,Champagne
marscarpone cheese,Champagne
popcorn butter,Champagne
calamari,Champagne
smoked salmon,Champagne
caviar,Champagne
foie gras mushrooms,Champagne
crepes strawberries chocolate,Champagne
strawberries chocolate,Champagne
cookies,Champagne
sugar butter flour,Champagne
prosciutto serrano ham smoked,Champagne
cheesecake cream cheese ,Champagne
linguini clams,Champagne
pistaschio almond nut scallop shrimp,Champagne
beef wellington,Merlot
slow cooker beef roast,Merlot
stew,Merlot
beef stew,Merlot
steak,Merlot
ribeye,Merlot
meatloaf,Merlot
veal,Merlot
beef bourguignon,Merlot
goat,Merlot
deer,Merlot
creamy smoked salmon pasta,Pinot Grigio
halibut,Pinot Grigio
carbonara,Pinot Grigio
chicken picatta,Pinot Grigio
pesto chicken,Pinot Grigio
seared scallops,Pinot Grigio
shrimp risotto,Pinot Grigio
tilapia,Pinot Grigio
salmon,Pinot Grigio
shrimp scampi,Pinot Grigio
lobster tail,Pinot Grigio
cod,Pinot Grigio
bruschetta,Pinot Noir
fennel pork roast,Pinot Noir
enchilada,Pinot Noir
glazed ham,Pinot Noir
curry,Pinot Noir
rigatoni,Pinot Noir
sweet potato fries,Chardonnay
fetuccine alfredo,Chardonnay
